# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
5

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Body,0,KWYZGASFZI,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -2.868852459016402179e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,41,17
# x,y,z,u,w
-1.156482317317871332e-18, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-1.301042606982605321e-18, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 2.500000000000000000e-01
-9.251858538542970657e-18, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 5.000000000000000000e-01
-1.156482317317871332e-18, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 7.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
-1.156482317317871332e-18, 2.312964634635742664e-18, -2.868852459016402179e-01, 0.000000000000000000e+00, 1.250000000000000000e+00
-9.251858538542970657e-18, 1.850371707708594131e-17, -2.868852459016402179e-01, 0.000000000000000000e+00, 1.500000000000000000e+00
-1.156482317317871332e-18, 2.312964634635742664e-18, -2.868852459016402179e-01, 0.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 2.000000000000000000e+00
-1.734723475976807094e-18, 2.312964634635742664e-18, -2.868852459016402179e-01, 0.000000000000000000e+00, 2.250000000000000000e+00
0.000000000000000000e+00, 1.850371707708594131e-17, -2.868852459016402179e-01, 0.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, 5.782411586589356468e-18, -2.868852459016402179e-01, 0.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 3.500000000000000000e+00
-1.879283765641540891e-18, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 3.750000000000000000e+00
-1.156482317317871332e-18, 0.000000000000000000e+00, -2.868852459016402179e-01, 0.000000000000000000e+00, 4.000000000000000000e+00
4.519972146021361548e-02, 1.338171405112739687e-01, -2.868852459016402179e-01, 2.000000000000000111e-01, 0.000000000000000000e+00
5.293408212477427460e-02, 1.221638112902450612e-01, -3.250697220163273338e-01, 2.000000000000000111e-01, 2.500000000000000000e-01
7.003010310757507018e-02, 9.183919087432046435e-02, -3.567825283120121815e-01, 2.000000000000000111e-01, 5.000000000000000000e-01
8.726016995832160117e-02, 4.942279514164866355e-02, -3.778141497904223822e-01, 2.000000000000000111e-01, 7.500000000000000000e-01
9.512857649082792633e-02, -6.994405055138486254e-18, -3.853677322764165747e-01, 2.000000000000000111e-01, 1.000000000000000000e+00
8.726016995832160117e-02, -4.942279514164867743e-02, -3.778141497904224377e-01, 2.000000000000000111e-01, 1.250000000000000000e+00
7.003010310757507018e-02, -9.183919087432046435e-02, -3.567825283120121815e-01, 2.000000000000000111e-01, 1.500000000000000000e+00
5.293408212477427460e-02, -1.221638112902451029e-01, -3.250697220163273338e-01, 2.000000000000000111e-01, 1.750000000000000000e+00
