# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,TAOAOASPPX,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.500000000000000000e+00, 2.000000000000000111e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,50,33
# x,y,z,u,w
3.199999999999998845e+00, 1.999999999999999556e-01, 3.836930773104541207e-17, 1.000000000000000000e+00, 0.000000000000000000e+00
3.186691718928839734e+00, 1.999999999999999556e-01, -2.161278363379049491e-04, 1.000000000000000000e+00, 4.173311976788848798e-02
3.167567717625591417e+00, 1.999999999999998446e-01, -5.313241733950763027e-04, 1.000000000000000000e+00, 9.595583006934514658e-02
3.140655800021550981e+00, 1.999999999999996225e-01, -9.867863255134726435e-04, 1.000000000000000000e+00, 1.722603643809275942e-01
3.103879286885068201e+00, 1.999999999999995393e-01, -1.638756976196613672e-03, 1.000000000000000000e+00, 2.765358755368440558e-01
3.055586929823161046e+00, 1.999999999999997058e-01, -2.555086892327112190e-03, 1.000000000000000000e+00, 4.134663504172013671e-01
2.995388272660742146e+00, 1.999999999999998168e-01, -3.781979670805867434e-03, 1.000000000000000000e+00, 5.841612375912467181e-01
2.925031214416977221e+00, 2.000000000000007050e-01, -5.264793148263341091e-03, 1.000000000000000000e+00, 7.836633902842906618e-01
2.848734297593579434e+00, 2.000000000000009270e-01, -6.722182332429929227e-03, 1.000000000000000000e+00, 1.000000000000000000e+00
2.772428987958980962e+00, 2.000000000000000389e-01, -7.615033669249336723e-03, 1.000000000000000000e+00, 1.216336609715709338e+00
2.702058000445369146e+00, 2.000000000000002331e-01, -7.341019560446400069e-03, 1.000000000000000000e+00, 1.415838762408753171e+00
2.641876285706576510e+00, 2.000000000000002331e-01, -5.540959686344874846e-03, 1.000000000000000000e+00, 1.586533649582798633e+00
2.593591562925953831e+00, 2.000000000000003719e-01, -5.043001431353355893e-03, 1.000000000000000000e+00, 1.723464124463156111e+00
2.556852607261126398e+00, 1.999999999999999001e-01, -6.803671150347300432e-03, 1.000000000000000000e+00, 1.827739635619072267e+00
2.529963143546872129e+00, 1.999999999999992339e-01, -7.937904747762451751e-03, 1.000000000000000000e+00, 1.904044169930654951e+00
2.510911500618972170e+00, 1.999999999999991784e-01, -6.664551011231768449e-03, 1.000000000000000000e+00, 1.958266880232111484e+00
2.500000000000000000e+00, 1.999999999999990119e-01, 4.499178807293446870e-17, 1.000000000000000000e+00, 2.000000000000000000e+00
2.503864141211802785e+00, 1.999999999999999833e-01, 1.256409829572632808e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
